
? CHAPTER ONE  ?

Table 3–212: Uncommon Diversions
1  Assassination
2  Baptism/conversion
3  Carnival
4  Display of force
5  Display of magic
6  Foot chase
7  Force of nature
8  Kidnapping
9  Mass holy event
10  Mass pickpocketing by urchins/robbery
11  Magical duel
12  Mob justice
13  Murder
14  Noble procession
15  Public execution
16  Riot
17  Street fight
18  Supernatural sighting
19  Swordfight/duel of honor
20  Thief leaping from second story to ground

? CHAPTER THREE  ?
Contacts
Table 3–213: Contacts 1
1  Agripa, servant and household slave, female human. A wise woman in the service of an important noble, Agripa knows when to keep her ears open and her mouth shut. She can reveal information about the goings-on of the noble family she works for in exchange for useful gossip.
2  Arianna,  thespian, female human. This charismatic and deceitful girl can help a character disguise himself effectively when using makeup and costumes from her vast assortment as long as some disguise supplies are traded.
3  Barakas Brokennose, brewer, male dwarf. This brewer sells raw materials (mainly various types of grains) as well as fine mead and ale at a healthy discount for news on competitors.
4  Barnabas, Hunter, male human. This contact offers food and shelter when prepping for a journey in any type of terrain... to for a price. He is also a master tracker and has been known to sell his services.
5  Baromas the Powerful, carpenter, male human. This strong carpenter builds a solid structure like no other. As a contact, he builds anything for the cost of the raw material as long as he is fed, given a place to sleep, and a few coins are in his purse when he is finished.
6  Bertol, alchemist, male human. This master alchemist supplies special alchemical items and brews certain potions at cost in exchange of rare goods. He can also identify things for a portion of the price, provided a favor is done for him.
7  Biltanas Boatmaker, shipwright, male half-elf. This boat maker sells all manner of embarkations at a fraction of the price (between 25% and 50% off). He also provides good timber at a 25% discount. Tips on pirate activity are greatly appreciated, but what he really likes is exotic tobaccos.
8  Borda Missingtoe, chandler, female human. This shy contact sells candles at a 60% discount. She also has a hidden cellar in which she hides refugees and other people in need in exchange for gold and information on new shipping lanes.
9  Calberol Hardear, cobbler, male human. This cobbler knows how to keep his customers happy. As a contact, he sells reworked boots, shoes, and sandals at one third of the regular price. He can also inform a character on all manner of local lore for the cost of a few draughts of fine ale.
10  Cardomir of the Shire, cottager, male human. This cottager knows more lore about the region than anybody else. For a fine meal he provides amazing detail. For an after-dinner cigar, he draws maps.The following is a list of NPC contacts, along with the roleplaying perks and benefits they grant PCs. These  contacts  can  fit  in  any  campaign  setting.  Each  entry  includes  the  contact's  name, gender, race, and any benefits he or she can offer and what they want in return, if applicable.

? CHAPTER THREE  ?
11  Castanil, artist, female half-elf. A favorite at court, Castanil is a cunning woman who knows every important person in town. When questioned on certain individuals, she reveals how to act in their presence. She is always on the lookout for scandalous gossip.
12  Cori the Reckless, hostler, female human. This contact knows how to tame and train horses. Although she may not be able to offer a great discount on steeds, she trains horses for free and even purchases steeds from those who refer her business to others.
13  Cratos the Fat, innkeeper, male human. This contact grants good food and comfortable lodgings at 30% off for anyone who brings him exotic spices, trinkets, and stories.
14  Dardania the Unwielding, bailiff, female human. This strict lawwoman knows most criminals in the region. She helps identify, locate, and track down all manner of criminals. She has been known to pay for tips regarding escapees.
15  Dostoyana Ravenmane, soldier, female human. This contact works for the local militia. One of the best soldiers in her unit, she may find employment as a warrior, act as bodyguard, or even be hired as mercenary (for the cost of food and lodging, plus 10% of all monetary treasures found).
16  Drista the Bold, siege engineer, female human. This cunning engineer builds sound and reliable siege engines for the cost of raw materials plus 15%. Currently, she seeks a husband of noble birth.
17  Durdinas Armsmaker, armorsmith/weaponsmith, male human. This famous weapons crafter can sell masterwork items at 40% off to good friends. Occasionally, he may buy or sell enchanted arms and armor as well.
18  Duri Shortbeard, jeweler, female dwarf. This jeweler contact will purchase as many gems as one cares to sell to her. She also has access to a limited selection of enchanted rings, necklaces, and brooches, which she sells at half price. She needs someone to put in a good word to any and all human nobles about her shop, to hopefully increase business.
19  Eli the Librarian, bookkeeper, female human. This contact knows all sorts of information, and is an expert on useful trivia. She can also find informative volumes of arcane lore in exchange for books she's never seen before.
20  Estill Nightseeker, astrologer, female elf. Estill is an expert in the fields of astrology, fortune-telling, and magical theory. She currently wants to upgrade her stargazing equipment.

? CHAPTER THREE  ?
Table 3–214: Contacts 2
1  Etherson Oxfriend, teamster, male human. Etherson has driven caravan wagons for over forty years. He uses his spotless reputation to find employment, cuts deals on transportation fees on certain caravans, and occasionally dispense sales prices on selected merchandise. In return, he merely needs a few more coins to help with his retirement.
2  Evik the Noblehearted, squire, male human. This impressionable young man is eager to serve, and is on the in with a number of members of nobility and royalty. He is willing to introduce someone to a notable knight of the region if someone will speak highly of him (in certain circles).
3  Fahavan Nokodomi, cartographer, male human. This man supplies maps of all kinds. He knows how to imitate handwriting and may forge documents for those in need of such services. He of course, would never reject gold, or a good word to a local woman he courts.
4  Fat Faramos, cook, male human. This goodhearted cook works for an important local noble family. He offers good food for free and grants occasional shelter at his lord's manor (or stable, depending on the circumstances) in exchange for black market spices and wines.
5  Finirian the Dreary, embalmer, male human. This contact grants funeral services for a discount.  He can also help someone disguise himself in exchange for anything made of silver.
6  Fritas the Fool, jester, male human. Although he has a perverted sense of humor, Fritas has a multitude of contacts at court. With his help, people can secure an appointment with a high-ranking member of the ruling council, so long as they speak favorably enough to someone who can get him out of chores.
7  Gorkas Darkmane, metalsmith, male human. Gorkas supplies metal items of superior quality at just above cost. Although he never produces arms and armor himself, he offers, with the help of his many contacts, a 25% discount on these items. Looking for a bard to record his tale of success.
8  Grak the Destitute, beggar, male half-orc. This untrustworthy half-breed knows the city like he knows the many scars marking his unattractive face. He can help a character find scraps of food and good shelter for free. Always on the lookout for shortcuts and hideaways.
9  Hakiun Horsetamer, rancher, male human. This independent rancher contact grants high-quality steeds at a 30% discount. He also teaches people how to handle or ride horses. Hakiun is looking for a wife to raise a family with.
10  Harkadir Safepassage, sea vessel pilot, male human. This first mate can procure passage on his ship for free. Through his friends, he also bestows a discount of up to 20% off the transportation fee of any seabound vessel if the customers also do small chores aboard the vessel.

? CHAPTER THREE  ?
11  Irkos One-Handed, locksmith, male dwarf. This discreet contact knows how to pick a lock and is familiar with most designs used in the city where he lives. He crafts specially made tools that grant benefits against one specific type of lock. He is always adding to his collection of unique keys.
12  Ivarnel, laborer and tenant farmer, male human. This simple and friendly farmer procures food, shelter, and mundane gear in exchange for a tale or two. He is intimately familiar with the region where he lives.
13  Jorian the Harper, musician, female elf. This charismatic character provides entertainment for free for friends who will spread the word of her talent.
14  Kiri the Craftsman, woodcrafter, female half-orc. Kiri supplies simple wood products for free. She can also craft any item made out of wood and offer a 25% discount on raw lumber. Her needs are simple and she enjoys company more than anything else.
15  Kratios, longshoreman, male human. This dockworker knows all sorts of rumors about the sea and is always willing to spin a yarn or impart sea lore for a good shave and haircut. He's also handy in a fight, especially if he takes a friend drinking anywhere in the harbor.
16  Kronak the Weary, tribal shaman, male human. This tribal priest performs ritual healing magic in exchange for a donation of blood to the spirits.
17  Lestor, Son of Bestoc, aristocrat, male human. This rich contact buys any sort of ancient relics, - magical or otherwise - from adventurers, paying good money. He seeks reaffirmation of his faith - real of otherwise - from clerics or the faithful.
18  Likharr of the Forest, herbalist, male human. This herbalist keeps all manner of plants and medicinal herbs in his small shop. He grants a 50% discount on all goods in his store if someone will help discredit his rival.
19  Liruelle the Notorious, guild thief, female elf. This cunning thief is an expert at appraising goods and has contacts within the black market. He's looking to impress a local crime lord.
20  Lord Grallas, retired paladin, male half-elf. This old adventurer has a golden reputation. As a contact, he uses his influence when dealing with city or royal officials who know him. He is always willing to help out good-hearted people and friends in need.

? CHAPTER THREE  ?
Table 3–215: Contacts 3
1  Manika the Beautiful, courtesan, female human. This ambitious woman works for one of the most prestigious courtesans' guild in the kingdom. Her profession allows her to learn all sorts of juicy information from her clientele or their immediate families. She loves fine clothing and jewelry.
2  Mirador the Snipe, fixer, male human. This short, keen-minded fellow has made gathering intelligence his profession. Through his own chain of contacts, he can also have items appraised (safely and discreetly). His fee is usually more information, but gold will also do.
3  Missana, perfumer, female human. This contact will buy any substance she can use to create new fragrances. She also supplies herbs, high-quality perfumes, and low-grade poisons at cost in exchange for gems, pearls, or any fine material that can be ground into a powder.
4  Murodikan, sheriff, male human. This stern sheriff can confer protection as well as information on all wanted criminals in the region for those who help him with his wanted poster collection.
5  Oneran Stronghand, master mason, male human. This mason can build houses, manors, and fortifications for the cost of materials and wages for his crew; especially if a few hearty meals are thrown in and they have a place to sleep at night.
6  Pagvar Silverhammer, gemcutter, male dwarf. Pagvar has contacts throughout the Silverhammer clan and can put somone in touch with most craftsmen. He also offers fair prices on gemstones to any who have legitimate lore or books on other dwarf clans.
7  Rasputin, physician, male human. Rasputin administers short- or long-term care to those in need. He also finds healing herbs, potions, and salves in a relatively short time and for a very good price. He would appreciate help in collecting unpaid debts from patients who owe him money.
8  Rikanas, miller, male human. Rikanas is in charge of the village's gristmill. He can find work, food, and shelter for travelers. He loves company and is willing to reveal information on some of his patrons those who spend time with him, telling stories and doing chores.
9  Rostig the Humorless, monk, male human. This dreary monk is on a personal quest to find perfect harmony between mind, body, and spirit. He is an expert on ancient writings and enjoys deciphering old codes for those with enlightenment to share.
10  Salian, leatherworker, male elf. Salian supplies all sorts of leather goods for one third of the market price. He is interested in buying hide from various creatures someone may have killed, especially if a good story is attached.

? CHAPTER THREE  ?
11  Sheraam, sailor, male human. This traveler reveals all manner of rumors from distant lands and shores to anyone who will talk him up to the captain.
12  Sorik Varnavel, farmhand, male half-orc. This exemplary employee dreams of a life of adventure and romance. He will do almost anything for a contact - as long as the task is (or seems to be) honorable and worthy in exchange for true friendship.
13  Thesteron Two-Toes, negotiator, male human. This devious rogue is a negotiator for the guilds and knows a lot of important members belonging to other organizations. He's always on the lookout for scams, deals, shills, marks, or a new con.
14  Trista, seer, female human. Since childhood, Trista has had visions of the future - or at least what she believes are visions of the future. She warns of impending danger or uses her divinatory magic to guide people on the right path. This is her living, though, and she needs to be paid.
15  Unia, poet, female elf. This talented poet makes a living by telling stories. She relates local legends, quotes historical facts from various volumes, and even guides people to a secluded hamlet, a lost monument, or a forgotten ruin in exchange for ancient stories... and a few drinks.
16  Virandia, seamstress, female human. Virandia makes clothes of the finest quality. For a quarter of the price, she can help someone look as sharp as a prince. She can also manufacture specific costumes to aid in disguises for those with some exotic threads or silks.
17  Yariis, executioner, male human. When not on duty, Yariis is a jovial man who loves good ale and devious pranks (and those who will help him pull them off). His station gives him privileged access to the capital city's barracks, guard towers, and dungeon prison.
18  Zaros the Dark, guild mage, male human. This evil wizard uses his scrying and divining powers to help anyone who pays in gems. He can cast powerful spells and rituals. 
19  Zebekian, priest, male human. This devoted cleric will willingly bless anyone for a donation worthy of his god.
20  Zergia the Blademistress, swordmaster, female human. This uncouth warrior made a name for herself in the Northlands. She reveals the location (or presumed location) of ancient ruins in that region, but only if she can claim a prominent share in any treasure.

? CHAPTER THREE  ?
university

Table 3–216: University Names
1  Academy of Seekers
2  Church of the Deity of Knowledge
3  Citadel of Ancient History
4  College of Unique Process
5  Conservatory of Higher Thought
6  Convocation of the Magus
7  Eternal Mansion
8  Founding Father's Name
9  Fraternity of the Compass
10  Halls of Advanced Learning
11  King's College
12  Library of Creative Thought and Perpetuity
13  Mind's Eye Sanctum
14  Northern Lesgrave University
15  The School of Truth
16  Seminary of Saint Abdar
17  Tower of the Stars
18  Towers of Arcanum
19  University of the Mystical and Divine
20  Veritas Academy
Table 3–217: University Classes 1
1  Abjuring, Auguries, Omens, and Prophecies
2  Accounting and Tax Collecting
3  Advanced Medicine
4  Advanced Smithing and Ironlore
5  Alchemical Doctrine
6  Anatomy and Physiology
7  Architecture and Design
8  Astral Studies
9  Astrology
10  Astronomy
11  Bloodlines and Blood Magic
12  Cartography and Mapmaking
13  Chirurgery
14  Ciphers, Codes, and Secret Languages
15  Civics
16  Divination Theory
17  Elemental Binding
18  Engineering
19  Ethics
20  Fellowship Seminar
Table 3–218: University Classes 2
1  Genealogy, Heraldry, and Nobility
2  History
3  Interior Justice
4  Laboratory Arts
5  Logic
6  Magical Theory and Applications
7  Military Tactics and History
8  Musical Composition and Theory
9  Naprapathy
10  Necrology
11  Obscure Languages
12  Occult Symbology
13  Philosophy
14  Phlebotomy and Phrenology
15  The wPlanes
16  Rhetoric
17  Runes and Sigils
18  Sangoma
19  Scribner
20  Theology

? CHAPTER THREE  ?

Table 3–219: Historians and  sages
1  Avrego Wightman: Sieges and wars, has an eye for the ladies
2  Blad Bourassa: Architecture styles, an elder who thinks he's seen it all
3  Chiara Jabrayan: Elf history, always reminding people how skilled he is
4  Emad Nethercote: Nobility and royalty, tells long tales, loves to hear self talk
5  Fadi Thanheit: Giant history, treats foreigners poorly
6  Jennel Khnoperrick: Ancient empires, always double-checking with superiors
7  Kaslytis Price: Geography and locations, never without a snifter of brandy
8  Keita Esperance: Dragon history, always seems tired and drowsy
9  Kekara Lucente: Magic use and development, gossips about other people at length
10  Kent Vurton: Dwarf history, always finds exceptions to the work to extend his fees
11  Lacy Charabati: Culture migration, is always trying to sell himself and his peers
12  Lon Demtire: Skirmish battles, never seen without some sort of personal weapon
13  Masiri Genoff: Weaponry development, claims to know many great heroes
14  Moshe Hearonn: Religions and artifacts, always cheerful with a hearty laugh
15  Randall Kernchia: Cities and towns, depressed and determined to bring any mood down
16  Rhoa Witlock: Charts and cartography, prone to asking inappropriate questions
17  Sehl Lathome: Stargazing and constellations, always correcting other's grammar
18  Spence Soetaert: Prophecy, quick to argue his viewpoint or interpretation
19  Sybilla Weynant: Plays and songs, frequently hums or sings ancient songs
20  Voirinchek: Art and sculpture, always noting useless trivia associated with work

Table 3–220: scribes
1  Alligray Boyd: Elven, speaks with an elf accent
2  Bellamy Chamdleson: Common, fan of local colorful phrases
3  Bendrison Matter: Draconic, squints and adjusts glasses while writing
4  Berculeck Konopat: Auld Common, smokes pipeweed
5  Betha Swantek: Celestial, absently twirls hair on finger
6  Derius Marchone: Common, very proper in manners and dress
7  Idone Kerrigan: Trade glyphs, twirls gold coin in off hand
8  Ifrat Wintermute: Druidic, shameful grin shows many missing teeth
9  Juliran Lebeck: Dwarf language, prone to whistling while he works
10  Kallay Gehrestill: Infernal, has two different eye colors, gray and green
11  Macke Grogan: Elven language, has elf tattoos on each hand
12  Mallery Slate: Draconic, nervously twitches while works
13  Maritz Detillion: Giantkin, has a deep, rich voice
14  Martique Leja: Fey glyphs, sits very cockeyed and comfortably in chair
15  Meiran Gilmartin: Common, lacking in neither skills nor looks
16  Ramson Setlock: Dwarf language, nods a lot while talking or working
17  Rolfe Hamman: Old One symbols, smiles to himself while working
18  Savitton Reed: Common, old scars didn't heal well on him, hurting looks
19  Stoll Passolo: Elven language, always seems cold, wrapped in extra clothing
20  Trevillian Martox: Trade tongue, talks a lot with hands and body movements

? CHAPTER THREE  ?

Table 3–221: University Professors
1  Amos Manthry: Heraldry and lineage
2  Cascadia Vincento: Riding, known for demanding hard work from the students
3  Digio Meier: Glyphs and symbols, claims his missing finger helps his work
4  Gale Mullenforth: Fencing and archery, said to have elf blood in him
5  Grady Wolfstone: Locksmithing, from dwarf family known for the work
6  Harlin Nezniak: Justice, frequently talks to himself as if to reassure his thoughts
7  Jaron Valardi: Religion, he himself never reveals his true faith, if any
8  Keint Lashbridge: Animal training, has a collection of exotic talking birds in his office
9  Kenna Killorn: Concentration, short on words but with a piercing gaze
10  Kolass the Great: Theater, always seen in colorful, casual garb
11  Lillica Rennis: Astrology, uses old suitor's notes to her as demonstration handouts
12  Loeffel Woodward: Languages, also known as "The Loafer," teaching the easiest class to pass
13  Morgan Ipekring: Ciphers, speaks of her time as an adventurer
14  Oliver Ramshaw: Arcane sciences, rumors says he is having an affair with another professor
15  Oxley Fairfield: Alchemy, also known as "The Ox," the university looks to replace this professor
16  Perek Barliadi: Nonmagical healing, speaks fondly of helpful necromantic magic
17  Rourke Ashwork: Music, has a following among his younger female students
18  Sammael Azar: History, an excellent teacher but with a very short temper
19  Seto Agudela: Civics and culture, has many maps of her extensive travels
20  Tandy Barago: The Planes, they say she's been to other worlds and it's affected her mind

Table 3–222: University  students
1  Adriana Perone: History, plans to become a professor once she feels she's learned enough
2  Amir Windless: The perpetual student of the school
3  Fedro Gabel: Languages, he and his wife, Dana, attend classes together
4  Heikki Halvarado: Arcane sciences, standoffish and a loner
5  Hugh Zivick: Mathematics, has a strange accent and spectacles
6  Kantiri: Philosophy, mature age, keeps hair long in braids and is handsome 
7  Kelleron Dussel: Zoology, scruffy and unkempt, once broke up a fight between professors
8  Medgerdichian: Wars and strategy, stern and handsome
9  Mitro Mantaka: Magic, loves attention and very talkative
10  Moyal Triolo: Fey studies, daydreamer who has few friends
11  Orchant Farrokh: Astrology, strong-willed and highly motivated
12  Roy Tapia: Local hero, always making new friends
13  Sheldon Arronov: Metallurgy and alloys, has strange gray eyes
14  Sorgie Baranco: Chirurgery, presence stands out in a crowd
15  Tilton Caveglia: Economics, practical joker
16  Trice Tomanian: Taking only a single theater class, gold digger
17  Viago Moreta: Law and crime, brooding about a mysterious past
18  Werne Collado: Avoids most people since one of his parents is in an influential position
19  Zahdra Spathi: Divination, wants to understand the visions she receives
20  Zayas Pachana: Father is a professor at the school; prone to violent outbursts regarding the subject

? CHAPTER FOUR  ?
Chapter four
maritime

? CHAPTER FOUR  ?
Ports O' Call
Table 4–1: Port Names 1
1  Annex Bay
2  Bandar Point
3  Bargeton
4  Bridgetown
5  Cape Cristobol
6  Cape of Saints
7  Cape Yeoman
8  Colossus Gulf
9  Coral Bay
10  Darkwash Landing
11  Deepharbor
12  Dire Cape
13  Eagle Point
14  Glass Bay
15  Grim Cove
16  Hazzir Bay
17  Jamestown
18  Jericho Landing
19  Kingsport
20  Kirkdun Harbor
Table 4–2: Port Names 2
1  Mammoth Point
2  Never Moor
3  Outrigger Dock
4  Port Behremij
5  Port Galtas
6  Port Haven
7  Port of Men
8  Princeport
9  Port Unique
10  Razor Landing
11  Reunion
12  Saint Marcus Marina
13  Saint Troix
14  Sonata Bandar
15  Thrace
16  Tildon
17  Valletta
18  Victory Channels
19  Vincennes
20  Waterford

Table 4–3: Ports at-a-Glance
1  Busy and well-patrolled
2  Capital of country
3  Entertainment center
4  Excellent information and knowledge
5  Excellent weapon and armor smiths
6  Export center
7  Filled with king's troops
8  Filled with criminals and scum
9  Good repair facilities
10  Guild-run port
11  Import center
12  Military fortress
13  Pirate's den
14  Quarters strictly defined
15  Ramshackle
16  Saturated with industry
17  Scarcely populated
18  Significant magical activity
19  Smuggler's haven
20  Substantial humanoid population

Table 4–4: Port Intrigue
1  Boasts pearl beds and divers
2  Deadly fog shrouds city at night
3  Flooded by bad storm
4  Founded by a pirate
5  Has a huge water clock in center of town
6  Houses a torturers' guild
7  Lit by magical torches
8  Mayor is reputedly a pirate
9  Mints coins for the government
10  Museum houses a dragon skull
11  Mysteriously abandoned recently
12  Quarantined for plague
13  Royalty has a home here
14  Ruled by mad priest of a sea deity
15  Run by a council of pirates or adventurers
16  Sand on the shore is black
17  Sea races openly walk the streets
18  Suffers the strain of tribute to local dragon
19  Tension between ruler(s) and local druid(s)
20  Trades freely with sea race(s)

? CHAPTER FOUR  ?

Table 4–5: Dockside Personae
1  Alec the dock warden inspects ships for contraband outlawed by the local nobles.
2  Atrayu the seer forgets most of his own past but is outstanding at seagoing lore and stories.
3  Brushela Cauldron-Tamer, retired naval cook, now serves up her wares in the Studded Anchor.
4  Ditrik the warehouse owner and smuggler's contact and his regime of bodyguards.
5  Docan the shipwright and retired advisor to the imperial navy, available for advice.
6  Duthalik the dwarf siege-engine specialist, in both shipboard catapults and ballistae.
7  Dythellia the Seawitch, a druid of no little skill, speaks with sea creatures for news from afar.
8  Gaithlin Kraken-Slayer, bard of the high seas and former cabin boy of Captain Risella Redmane.
9  Grace the necromancer, known to have powered the Skullreaver with untiring skeletal rowers.
10  Jaitia, aquatic elf who travels from port to port in search of word of a lost city of her kind.
11  Johannus Coop, the retired shipwright who nitpicks ship imperfections that really don't matter.
12  Lukin the harbormaster, with logbook and writs of notice, is always accompanied by his assistant.
13  Martiorin, the matriarch of the local guild of innkeepers and taverns, who owns the Sailor's Rest.
14  Old Jorris the beggar who claims his ship wrecked here years ago and has a great pity craving.
15  Seti Irmal, cleric to the god of the sea, collecting alms and giving blessings to departing ships.
16  Solveig the half-ogre bosun recently expelled from the  Xenwind, looking for new work on deck.
17  Sorgiss Redflesh, permanently sunburned sailor who survived 30 days in the Dreadmyth Sargasso.
18  Theldar the brawler, champion arm wrestler and freelance shipboard marine.
19  Urid the Grym, master pilot and chart-reader, with sack of sextants, measuring devices, and gear.
20  Xavier the master navigator's collection of ancient mariner's maps rivals that of the oldest captain.
Table 4–6: Dockside Diversions 1
1  Artist is making charcoal sketches of the docks
2  Band of musicians play to announce the arrival of a noble's ship
3  Battered ship enters port and the surviving sailors are few
4  Child covered with seaweed is chasing other children down the docks
5  Children have acquired a small mirror and are reflecting sunlight into the eyes of pedestrians
6  Coachman is refusing a fare; the angry customer begins kicking the coach
7  Couple of drunken salts are telling tales of sea serpents that they've "seen"
8  Couple of newlywed nobles are being sent off; the young bride weeps
9  Cowled figure is being escorted aboard a ship by several sailors and guardsmen
10  Crate on the docks explodes, releasing a hungry creature
11  Crew of a nearby ship sings as it prepares to set sail
12  Criminal is being escorted to a ship; the crowd hisses and follows behind the guards
13  Dark cloaked figures chase a small boy down the docks; the lad is heading for the water
14  Drunken sailors attempt to return to their ship, but board the wrong one; a scuffle ensues
15  Due to the displeasure of the sea goddess, the harbor has turned into a huge whirlpool; the town - desperate to make amends - considers tossing sacrifices into the harbor
16  Family, leaving town, carries all their belongings; a sailor scolds them about so much baggage
17  Famous bard entertains at a dockside tavern; the place is full with a crowd just outside the door
18  Figurehead is being repaired or replaced on a damaged ship
19  Fisherman and a young couple are haggling over the sale of a boat
20  Fisherman carefully cuts up and feeds his catch to a couple of fat cats

? CHAPTER FOUR  ?
Table 4–7: Dockside Diversions 2
1  Fisherman is cleaning his catch and feeding nearby seagulls what he can't use
2  Fishing boat runs aground and cracks against the hull of a bigger ship in the marina
3  Fishing net animates and begins dragging pedestrians into the water
4  Giant dead sea creature has floated into the harbor
5  Guards are trying to arrest a ship's captain on charges of piracy; he is resisting
6  Harbor has turned the color of blood
7  Harbor is filled with floating dead fish; the smell is terrible
8  Harbor is quickly and quietly being emptied; no one will speak of why
9  Harbormaster has fainted and no one seems to notice
10  Horse has been spooked and is pulling a wagon down the docks at breakneck speed
11  House explodes; the inhabitants have been known to locals to experiment with unstable substances
12  Hungry sharks swim lazily in the harbor, waiting patiently for food
13  In the harbor a (plague) ship is being sent away; someone is sick aboard
14  Large chest is under heavy guard as it is loaded onto a wagon
15  Large chest on the deck of a ship seems to move toward the water
16  Large ship boasts several pirate flags hanging from its figurehead as trophies
17  Laughter can be heard from beneath the docks; the locals claim they can't hear anything
18  Local inventor tests an breathing apparatus for use underwater
19  Long line of people waits near a wagon; a sign with a picture of a steaming crab hangs on the side
20  Lucky cat has stolen a dock fisherman's catch; he begins chasing the culprit
Table 4–8: Dockside Diversions 3
1  Merchant is being visited by a couple of thugs
2  Merchant - hawking his wares - speaks in a foreign language, desperately clamoring for trade
3  Nearby figurehead seems to wink occasionally
4  Newly built ship is being lowered into the harbor today; if all goes well a christening will follow
5  Noble claims he's been insulted and challenges a young boy to a duel
6  Noble has caught her dress hem on a nail; she is trying to unobtrusively free herself
7  Noble uses a fisherman's pole to retrieve his hat from the water; a fisherman flips a coin, smirking
8  Old woman hobbles on a cane down the docks and the pedestrians give her a wide berth
9  Old woman sits in a rocking chair knitting; occasionally talks to "Oswald," but she is alone
10  One of the piers has been torn away and can be seen floating in the harbor
11  Pair of young women who are twins are fishing off the dock
12  Parrot familiar has flown onto a building sign; a sailor tries to coax it down
13  Peg-legged sailor is dancing with a woman to the tune only they can hear; they've just been married
14  Press gang hurries its catch to a ship with a few folks in tow
15  Pretty young woman is being harassed by a group of sailors
16  Priest silently prays at the docks; few notice and nudge him as they pass
17  Rat is chased by a cat nearby; it seems to squeak out "Help!" to pedestrians
18  Regal coach sits on the docks; no one is seen leaving or entering it
19  Rogue's hand is removed at a stall for stealing; locals cheer as the axe falls
20  Rowdy sailors have just been granted shore leave

? CHAPTER FOUR  ?
Table 4–9: Dockside Diversions 4
1  Sailing ship enters port crewed entirely by an aquatic race
2  Sailor has hung himself from a docked ship's mast overnight; everyone is afraid to board the ship
3  Sailor going wild and breaking things after learning his girl has married another while he was at sea
4  Sailors from two rival ships have started to argue; this likely leads to fisticuffs
5  Scholar is unloading his library from a ship and is making the porters' job difficult by supervising 
6  Seven cowled figures have taken positions on a ship in port and are standing very still
7  Several old men repair fishing nets while trading rumors
8  Shifty fellow offers his services as a guide to a group of naïve folks who have just disembarked
9  Ship has captured a magical aquatic beast... alive
10  Ship has caught fire and crews from nearby ships help put it out
11  Ship here with a huge hole in the side; it's a miracle it managed to reach port
12  Ship's entire crew refuses to sail out again on the ship they came in on; they won't say why
13  Ships and boats in the harbor are all being sunk from below
14  Ship's (magical) figurehead is arguing with the captain
15  Shouts can be heard from a ship whose crew is having trouble replacing torn sails
16  Sky has darkened quickly and everyone is closing up, getting to shelter and preparing for a storm
17  Small child is selling polished seashells from a basket
18  Small fishing boat has a large shark across the deck
19  Small group of children pick on a smaller child
20  Some crewmen claim they've captured a member of an aquatic race long thought extinct
Table 4–10: Dockside Diversions 5
1  Some sailors cracked open a casket of rum and now roll the empty casket along the dock
2  Someone has covered all the dockside windows of a ship with tar
3  Townsfolk are making repairs to one section of the docks
4  Travelers are trying to coax their horses on board a ship
5  Two fisherman argue and blame each other over some inconvenient and overblown slight
6  Two sailors are fighting over a woman while she is eyeing another man across the docks
7  Whales have beached themselves near the edge of the docks
8  While a ship departs several women stand on the docks and wave farewell to their sailors
9  Young apprentice crushes shells with a mortar and pestle, with her legs hanging out over the water
10  Young bard plays a worn and repaired lute, a beaten hat at her feet with a few coppers inside
11  Young boys throw rocks at seagulls
12  Young boys have tied a dead rat to string, using it and a few nets to gather crabs
13  Young fisherman is having a hook removed from his hand by another
14  Young man can be seen swimming in the harbor
15  Young man is feeding soup to a drunken beggar
16  Young man joins a crew as mother watches, weeping; the sailor pretends not to notice
17  Young pretty woman helps a drunken man leave a tavern and walk home
18  Young woman sells fried squid on a stick
19  Young woman - posing as a boy - applies for cabin boy position; the sailor sends her away
20  Young woman is using a long stick to collect seaweed; a basket filled with it is nearby

? CHAPTER FOUR  ?
Table 4–11: Dockside Establishments 1
1  Apothecary
2  Bait shop
3  Bakery
4  Barber
5  Baths
6  Brothel
7  Butcher
8  Carpenter
9  Church
10  Cooper
11  Dock master
12  Fest hall
13  Flophouse
14  Flower girl
15  Gambling hall
16  General store
17  Glass blowing
18  Inn/tavern 
19  Lumber mill
20  Map maker
Table 4–12: Dockside Establishments 2
1  Market
2  Mercantile
3  Merchant shop
4  Merchant stall
5  Moneychanger
6  Pawn shop
7  Rope/net maker
8  Sage
9  Sail maker/seamstress/tailor
10  Sailor's guild
11  Scribe
12  Shipwright
13  Smithy
14  Stable
15  Tattoo shop
16  Tinker
17  Tobacco shop
18  Trinket shop
19  Wagon maker
20  Warehouse
Table 4–13: Port Imports/Exports 1
1  Armor
2  Art
3  Cattle
4  Coal
5  Drugs
6  Exotic steeds
7  Fine fabrics
8  Fine furniture
9  Fine steeds
10  Fish
11  Fruits and vegetables
12  Furs or skins
13  Grain
14  Herbal remedies
15  Information
16  Ivory
17  Jewelry
18  Lace
19  Leather goods
20  Magic items
Table 4–14: Port Imports/Exports 2
1  Maps
2  Marine jewelry
3  Paper goods and books
4  Poisons
5  Porcelain
6  Potions
7  Pottery
8  Precious stones
9  Raw ore
10  Scrimshaw
11  Scrolls
12  Slaves (legal or illegal)
13  Spices
14  Stone
15  Unusual plants
16  Weaponry
17  Wild animals
18  Wines/spirits
19  Wood and lumber
20  Woven goods

